Company Name,Symbol,Sector
Adani Ports,ADANIPORTS,Infrastructure
Asian Paints,ASIANPAINT,Consumer Goods
Axis Bank,AXISBANK,Banking
Bajaj Auto,BAJAJ-AUTO,Automobile
Bajaj Finance,BAJFINANCE,Financial Services
Bajaj Finserv,BAJAJFINSV,Financial Services
Bharti Airtel,BHARTIARTL,Telecommunication
Bharat Petroleum,BPCL,Energy - Oil & Gas
Britannia Industries,BRITANNIA,Consumer Goods
Cipla,CIPLA,Pharmaceuticals
Coal India,COALINDIA,Metals
Divi's Laboratories,DIVISLAB,Pharmaceuticals
Dr. Reddy's Laboratories,DRREDDY,Pharmaceuticals
Eicher Motors,EICHERMOT,Automobile
Grasim Industries,GRASIM,Cement
HCL Technologies,HCLTECH,Information Technology
HDFC,HDFC,Financial Services
HDFC Bank,HDFCBANK,Banking
HDFC Life,HDFCLIFE,Financial Services
Hero MotoCorp,HEROMOTOCO,Automobile
Hindalco Industries,HINDALCO,Metals
Hindustan Unilever,HINDUNILVR,Consumer Goods
ICICI Bank,ICICIBANK,Banking
IndusInd Bank,INDUSINDBK,Banking
Infosys,INFY,Information Technology
Indian Oil Corporation,IOC,Energy - Oil & Gas
ITC Limited,ITC,Consumer Goods
JSW Steel,JSWSTEEL,Metals
Kotak Mahindra Bank,KOTAKBANK,Banking
Larsen & Toubro,LT,Construction
Mahindra & Mahindra,M&M,Automobile
Maruti Suzuki,MARUTI,Automobile
Nestlé India,NESTLEIND,Consumer Goods
NTPC,NTPC,Energy - Power
Oil and Natural Gas Corporation,ONGC,Energy - Oil & Gas
Power Grid Corporation of India,POWERGRID,Energy - Power
Reliance Industries,RELIANCE,Energy - Oil & Gas
State Bank of India,SBIN,Banking
SBI Life Insurance Company,SBILIFE,Financial Services
Shree Cements,SHREECEM,Cement
Sun Pharmaceutical,SUNPHARMA,Pharmaceuticals
Tata Motors,TATAMOTORS,Automobile
Tata Steel,TATASTEEL,Metals
Tata Consultancy Services,TCS,Information Technology
Tata Consumer Products,TATACONSUM,Consumer Goods
Tech Mahindra,TECHM,Information Technology
Titan Company,TITAN,Consumer Durables
UltraTech Cement,ULTRACEMCO,Cement
United Phosphorus Limited,UPL,Chemicals
Wipro,WIPRO,Information Technology
